CO
Golfgetal [cm-1]	ppm
cm-1	0	20	50  100
 594.44	0	-0.006958	-0.013857	-0.006992
 602.16	0	-0.005331	-0.020497	-0.010278
 609.88	0	-0.006516	-0.013845	-0.006860
 617.60	0	-0.015371	-0.022723	-0.025706
 625.32	0	-0.017662	-0.006511	-0.005882
 633.04	0	-0.006416	-0.022816	-0.016388
 640.76	0	0.001553	0.003282	0.015820
 648.48	0	-0.010804	-0.024877	-0.024348
 656.20	0	-0.008735	-0.023858	-0.016614
 663.92	0	-0.010998	-0.021210	-0.007758
 671.64	0	-0.003399	-0.009933	0.003046
 679.36	0	-0.015249	-0.026136	-0.027553
 687.08	0	0.004600	0.000227	0.027539
 694.80	0	-0.010391	-0.019553	-0.020611
 702.52	0	0.001051	-0.004938	0.005526
 710.24	0	-0.013695	-0.020754	-0.016938
 717.96	0	-0.011675	-0.013748	-0.033370
 725.68	0	-0.009033	-0.010531	-0.001397
 733.40	0	-0.001669	-0.013538	-0.009635
 741.12	0	-0.008876	-0.012584	-0.008053
 748.84	0	-0.005457	-0.018084	-0.007103
 756.56	0	-0.004763	-0.008641	-0.003430
 764.28	0	-0.003245	-0.007858	-0.006402
 772.00	0	-0.000573	-0.003491	-0.002400
 779.72	0	-0.002825	-0.005571	-0.004810
 787.44	0	0.000014	-0.002067	-0.001562
 795.16	0	-0.000275	-0.002567	-0.001599
 802.88	0	-0.001543	-0.002880	-0.000767
 810.60	0	-0.000363	-0.000437	0.000107
 818.32	0	0.000534	-0.000981	-0.000510
 826.04	0	-0.000843	-0.001448	-0.001399
 833.76	0	-0.000271	-0.000428	-0.000913
 841.48	0	0.000021	-0.000488	-0.000197
 849.20	0	-0.000109	-0.000697	-0.000571
 856.92	0	-0.000271	-0.000942	-0.000749
 864.64	0	-0.000103	-0.000619	-0.000470
 872.36	0	-0.000139	-0.000304	-0.000366
 880.08	0	-0.000243	-0.000559	-0.000504
 887.80	0	-0.000258	-0.000634	-0.000477
 895.52	0	-0.000352	-0.000495	-0.000382
 903.24	0	-0.000321	-0.000417	-0.000479
 910.96	0	-0.000264	-0.000377	-0.000484
 918.68	0	-0.000209	-0.000238	-0.000546
 926.40	0	-0.000159	-0.000305	-0.000410
 934.12	0	-0.000269	-0.000280	-0.000400
 941.84	0	-0.000107	-0.000344	-0.000260
 949.56	0	-0.000044	-0.000295	-0.000180
 957.28	0	-0.000197	-0.000350	-0.000363
 965.00	0	-0.000129	-0.000389	-0.000286
 972.72	0	-0.000051	-0.000206	-0.000297
 980.44	0	-0.000224	-0.000346	-0.000268
 988.16	0	-0.000177	-0.000366	-0.000287
 995.88	0	-0.000093	-0.000311	-0.000362
1003.60	0	-0.000168	-0.000401	-0.000312
1011.32	0	-0.000177	-0.000342	-0.000365
1019.04	0	-0.000187	-0.000301	-0.000279
1026.76	0	-0.000118	-0.000319	-0.000275
1034.48	0	-0.000133	-0.000303	-0.000313
1042.20	0	-0.000161	-0.000326	-0.000266
1049.92	0	-0.000172	-0.000325	-0.000232
1057.64	0	-0.000102	-0.000350	-0.000254
1065.36	0	-0.000147	-0.000333	-0.000287
1073.08	0	-0.000184	-0.000308	-0.000368
1080.80	0	-0.000125	-0.000317	-0.000312
1088.52	0	-0.000147	-0.000318	-0.000230
1096.24	0	-0.000136	-0.000313	-0.000322
1103.96	0	-0.000163	-0.000285	-0.000315
1111.68	0	-0.000113	-0.000268	-0.000249
1119.40	0	-0.000114	-0.000310	-0.000291
1127.12	0	-0.000176	-0.000334	-0.000319
1134.84	0	-0.000149	-0.000330	-0.000334
1142.56	0	-0.000176	-0.000328	-0.000324
1150.28	0	-0.000133	-0.000315	-0.000299
1158.00	0	-0.000195	-0.000325	-0.000301
1165.72	0	-0.000268	-0.000312	-0.000306
1173.44	0	-0.000177	-0.000271	-0.000300
1181.16	0	-0.000214	-0.000351	-0.000318
1188.88	0	-0.000099	-0.000323	-0.000289
1196.60	0	-0.000106	-0.000311	-0.000307
1204.32	0	-0.000188	-0.000327	-0.000317
1212.04	0	-0.000113	-0.000289	-0.000269
1219.76	0	-0.000147	-0.000306	-0.000295
1227.48	0	-0.000121	-0.000262	-0.000247
1235.20	0	-0.000114	-0.000283	-0.000262
1242.92	0	-0.000122	-0.000312	-0.000278
1250.64	0	-0.000121	-0.000294	-0.000287
1258.36	0	-0.000137	-0.000310	-0.000297
1266.08	0	-0.000124	-0.000281	-0.000274
1273.80	0	-0.000113	-0.000282	-0.000296
1281.52	0	-0.000146	-0.000307	-0.000298
1289.24	0	-0.000127	-0.000266	-0.000286
1296.96	0	-0.000125	-0.000297	-0.000289
1304.68	0	-0.000145	-0.000287	-0.000309
1312.40	0	-0.000105	-0.000267	-0.000300
1320.12	0	-0.000096	-0.000289	-0.000295
1327.84	0	-0.000171	-0.000315	-0.000339
1335.56	0	-0.000050	-0.000242	-0.000250
1343.28	0	-0.000019	-0.000236	-0.000239
1351.00	0	-0.000176	-0.000327	-0.000297
1358.72	0	-0.000044	-0.000215	-0.000252
1366.44	0	-0.000031	-0.000201	-0.000274
1374.16	0	-0.000095	-0.000269	-0.000289
1381.88	0	-0.000071	-0.000281	-0.000294
1389.60	0	-0.000050	-0.000247	-0.000294
1397.32	0	0.000043	-0.000192	-0.000284
1405.04	0	-0.000126	-0.000298	-0.000315
1412.76	0	-0.000099	-0.000269	-0.000292
1420.48	0	0.000100	-0.000174	-0.000275
1428.20	0	-0.000118	-0.000302	-0.000328
1435.92	0	0.000050	-0.000191	-0.000276
1443.64	0	-0.000112	-0.000290	-0.000309
1451.36	0	-0.000028	-0.000219	-0.000302
1459.08	0	0.000184	-0.000127	-0.000303
1466.80	0	-0.000084	-0.000292	-0.000339
1474.52	0	0.000060	-0.000188	-0.000311
1482.24	0	-0.000072	-0.000272	-0.000329
1489.96	0	0.000024	-0.000191	-0.000261
1497.68	0	-0.000014	-0.000245	-0.000335
1505.40	0	0.000147	-0.000175	-0.000364
1513.12	0	0.000240	-0.000069	-0.000251
1520.84	0	0.000180	-0.000154	-0.000336
1528.56	0	0.000057	-0.000191	-0.000276
1536.28	0	0.000071	-0.000251	-0.000396
1544.00	0	0.000183	-0.000189	-0.000393
1551.72	0	0.000055	-0.000187	-0.000269
1559.44	0	0.000188	-0.000226	-0.000462
1567.16	0	-0.000081	-0.000307	-0.000380
1574.88	0	-0.000067	-0.000293	-0.000389
1582.60	0	-0.000068	-0.000295	-0.000349
1590.32	0	-0.000138	-0.000289	-0.000271
1598.04	0	-0.000077	-0.000308	-0.000334
1605.76	0	-0.000145	-0.000292	-0.000276
1613.48	0	-0.000065	-0.000293	-0.000355
1621.20	0	-0.000070	-0.000304	-0.000372
1628.92	0	-0.000071	-0.000261	-0.000345
1636.64	0	-0.000019	-0.000288	-0.000401
1644.36	0	-0.000041	-0.000284	-0.000356
1652.08	0	0.000115	-0.000258	-0.000455
1659.80	0	-0.000041	-0.000292	-0.000392
1667.52	0	-0.000128	-0.000320	-0.000345
1675.24	0	-0.000030	-0.000281	-0.000374
1682.96	0	0.000057	-0.000198	-0.000356
1690.68	0	-0.000030	-0.000258	-0.000375
1698.40	0	0.000103	-0.000236	-0.000452
1706.12	0	-0.000050	-0.000304	-0.000403
1713.84	0	-0.000009	-0.000261	-0.000348
1721.56	0	-0.000016	-0.000256	-0.000391
1729.28	0	-0.000064	-0.000254	-0.000307
1737.00	0	0.000096	-0.000207	-0.000390
1744.72	0	-0.000103	-0.000291	-0.000344
1752.44	0	0.000057	-0.000204	-0.000309
1760.16	0	-0.000092	-0.000266	-0.000348
1767.88	0	-0.000038	-0.000255	-0.000342
1775.60	0	-0.000044	-0.000298	-0.000366
1783.32	0	-0.000128	-0.000295	-0.000310
1791.04	0	-0.000057	-0.000272	-0.000354
1798.76	0	-0.000073	-0.000275	-0.000349
1806.48	0	-0.000102	-0.000282	-0.000323
1814.20	0	-0.000175	-0.000323	-0.000356
1821.92	0	-0.000127	-0.000284	-0.000354
1829.64	0	-0.000108	-0.000292	-0.000365
1837.36	0	-0.000159	-0.000312	-0.000369
1845.08	0	-0.000075	-0.000273	-0.000368
1852.80	0	-0.000176	-0.000327	-0.000378
1860.52	0	-0.000210	-0.000335	-0.000360
1868.24	0	-0.000107	-0.000309	-0.000359
1875.96	0	-0.000191	-0.000361	-0.000377
1883.68	0	-0.000203	-0.000353	-0.000353
1891.40	0	-0.000172	-0.000350	-0.000372
1899.12	0	-0.000186	-0.000343	-0.000361
1906.84	0	-0.000186	-0.000339	-0.000360
1914.56	0	-0.000150	-0.000329	-0.000345
1922.28	0	-0.000139	-0.000307	-0.000340
1930.00	0	-0.000203	-0.000337	-0.000378
1937.72	0	-0.000201	-0.000342	-0.000377
1945.44	0	-0.000155	-0.000324	-0.000332
1953.16	0	-0.000211	-0.000368	-0.000376
1960.88	0	-0.000220	-0.000371	-0.000389
1968.60	0	-0.000183	-0.000336	-0.000360
1976.32	0	-0.000204	-0.000346	-0.000368
1984.04	0	-0.000184	-0.000330	-0.000312
1991.76	0	-0.000167	-0.000287	-0.000263
1999.48	0	-0.000152	-0.000252	-0.000189
2007.20	0	-0.000117	-0.000180	-0.000060
2014.92	0	-0.000088	-0.000091	0.000144
2022.64	0	-0.000016	0.000087	0.000518
2030.36	0	0.000070	0.000356	0.001030
2038.08	0	0.000274	0.000809	0.001882
2045.80	0	0.000561	0.001400	0.002963
2053.52	0	0.000882	0.002209	0.004456
2061.24	0	0.001304	0.003214	0.006297
2068.96	0	0.001934	0.004489	0.008488
2076.68	0	0.002607	0.005958	0.010930
2084.40	0	0.003315	0.007474	0.013352
2092.12	0	0.004029	0.008923	0.015616
2099.84	0	0.004641	0.010179	0.017619
2107.56	0	0.005031	0.010971	0.018839
2115.28	0	0.005133	0.011267	0.019555
2123.00	0	0.004568	0.010099	0.017796
2130.72	0	0.003612	0.008312	0.015235
2138.44	0	0.001537	0.003730	0.007302
2146.16	0	0.000474	0.001226	0.002726
2153.88	0	0.002679	0.006317	0.011955
2161.60	0	0.004786	0.010733	0.019141
2169.32	0	0.006147	0.013343	0.022888
2177.04	0	0.006921	0.014834	0.025090
2184.76	0	0.006818	0.014596	0.024650
2192.48	0	0.006186	0.013416	0.022995
2200.20	0	0.005049	0.011160	0.019522
2207.92	0	0.003727	0.008523	0.015413
2215.64	0	0.002475	0.005806	0.010928
2223.36	0	0.001439	0.003477	0.006847
2231.08	0	0.000691	0.001775	0.003716
2238.80	0	0.000244	0.000680	0.001630
2246.52	0	-0.000029	0.000070	0.000449
2254.24	0	-0.000145	-0.000208	-0.000077
2261.96	0	-0.000168	-0.000323	-0.000314
2269.68	0	-0.000184	-0.000338	-0.000356
2277.40	0	-0.000187	-0.000360	-0.000405
2285.12	0	-0.000168	-0.000332	-0.000402
2292.84	0	-0.000134	-0.000344	-0.000405
2300.56	0	-0.000044	-0.000342	-0.000395
2308.28	0	0.000088	-0.000277	-0.000384
2316.00	0	0.000269	-0.000235	-0.000363
2323.72	0	0.000470	-0.000218	-0.000362
2331.44	0	0.000587	-0.000151	-0.000348
2339.16	0	0.000570	-0.000168	-0.000344
2346.88	0	0.000275	-0.000271	-0.000353
2354.60	0	0.000393	-0.000205	-0.000342
2362.32	0	0.000882	-0.000068	-0.000315
2370.04	0	0.000815	-0.000098	-0.000327
2377.76	0	0.000316	-0.000244	-0.000373
2385.48	0	-0.000094	-0.000345	-0.000401
2393.20	0	-0.000192	-0.000353	-0.000415
2400.92	0	-0.000241	-0.000359	-0.000398
2408.64	0	-0.000228	-0.000378	-0.000424
2416.36	0	-0.000219	-0.000414	-0.000449
2424.08	0	-0.000231	-0.000386	-0.000414
2431.80	0	-0.000220	-0.000370	-0.000425
2439.52	0	-0.000226	-0.000383	-0.000415
2447.24	0	-0.000223	-0.000354	-0.000410
2454.96	0	-0.000219	-0.000378	-0.000414
2462.68	0	-0.000238	-0.000398	-0.000416
2470.40	0	-0.000240	-0.000375	-0.000444
2478.12	0	-0.000223	-0.000389	-0.000432
2485.84	0	-0.000238	-0.000378	-0.000449
2493.56	0	-0.000240	-0.000390	-0.000483
2501.28	0	-0.000214	-0.000402	-0.000449
2509.00	0	-0.000227	-0.000399	-0.000470
2516.72	0	-0.000230	-0.000393	-0.000443
2524.44	0	-0.000227	-0.000381	-0.000431
2532.16	0	-0.000232	-0.000385	-0.000427
2539.88	0	-0.000220	-0.000382	-0.000433
2547.60	0	-0.000229	-0.000373	-0.000457
2555.32	0	-0.000235	-0.000379	-0.000433
2563.04	0	-0.000218	-0.000409	-0.000444
2570.76	0	-0.000217	-0.000411	-0.000466
2578.48	0	-0.000241	-0.000384	-0.000440
2586.20	0	-0.000254	-0.000408	-0.000458
2593.92	0	-0.000236	-0.000401	-0.000455
2601.64	0	-0.000241	-0.000384	-0.000447
2609.36	0	-0.000250	-0.000413	-0.000462
2617.08	0	-0.000231	-0.000404	-0.000449
